"filename","lookout_ppv","lookout_npv","N","lookout_true_pos","lookout_true_neg","lookout_false_pos","lookout_false_neg","lookout_accuracy","lookout_sensitivity","lookout_specificity","lookout_gmean","lookout_precision","lookout_recall","lookout_fmeasure","hdoutliers_ppv","hdoutliers_npv","N.1","hdoutliers_true_pos","hdoutliers_true_neg","hdoutliers_false_pos","hdoutliers_false_neg","hdoutliers_accuracy","hdoutliers_sensitivity","hdoutliers_specificity","hdoutliers_gmean","hdoutliers_precision","hdoutliers_recall","hdoutliers_fmeasure","stray_ppv","stray_npv","N.2","stray_true_pos","stray_true_neg","stray_false_pos","stray_false_neg","stray_accuracy","stray_sensitivity","stray_specificity","stray_gmean","stray_precision","stray_recall","stray_fmeasure"
"multiple_C10_P05_V03_CNA",0,0.95,1889,0,1786,9,94,0.945473795659079,0,0.994986072423398,0,0,0,0,0,0.950238221281101,1889,0,1795,0,94,0.950238221281101,0,1,0,0,0,0,0,0.950238221281101,1889,0,1795,0,94,0.950238221281101,0,1,0,0,0,0
"multiple_C10_P05_V04_CNA",0,0.95,1889,0,1786,9,94,0.945473795659079,0,0.994986072423398,0,0,0,0,0,0.950238221281101,1889,0,1795,0,94,0.950238221281101,0,1,0,0,0,0,0,0.950238221281101,1889,0,1795,0,94,0.950238221281101,0,1,0,0,0,0
"multiple_C10_P05_V05_CNA",0,0.950026581605529,1889,0,1787,8,94,0.946003176283748,0,0.995543175487465,0,0,0,0,0,0.950238221281101,1889,0,1795,0,94,0.950238221281101,0,1,0,0,0,0,0,0.950238221281101,1889,0,1795,0,94,0.950238221281101,0,1,0,0,0,0
"multiple_C10_P05_V06_CNA",0,0.950026581605529,1889,0,1787,8,94,0.946003176283748,0,0.995543175487465,0,0,0,0,0,0.950238221281101,1889,0,1795,0,94,0.950238221281101,0,1,0,0,0,0,0,0.950238221281101,1889,0,1795,0,94,0.950238221281101,0,1,0,0,0,0
"multiple_C10_P05_V07_CNA",0,0.95,1889,0,1786,9,94,0.945473795659079,0,0.994986072423398,0,0,0,0,0,0.950238221281101,1889,0,1795,0,94,0.950238221281101,0,1,0,0,0,0,0,0.950238221281101,1889,0,1795,0,94,0.950238221281101,0,1,0,0,0,0
"multiple_C2_P02_V01_CNA",0.25,0.981339187705818,1830,2,1788,6,34,0.978142076502732,0.0555555555555556,0.996655518394649,0.235307779348505,0.25,0.0555555555555556,0.0909090909090909,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0
"multiple_C2_P02_V03_CNA",0.181818181818182,0.981308411214953,1830,2,1785,9,34,0.976502732240437,0.0555555555555556,0.994983277591973,0.235110290619338,0.181818181818182,0.0555555555555556,0.0851063829787234,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0
"multiple_C2_P02_V04_CNA",0.0909090909090909,0.980758658603628,1830,1,1784,10,35,0.975409836065574,0.0277777777777778,0.994425863991081,0.166201506209838,0.0909090909090909,0.0277777777777778,0.0425531914893617,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0,0,0.980306345733042,1830,0,1792,2,36,0.979234972677596,0,0.998885172798216,0,0,0,0
"multiple_C2_P02_V05_CNA",0.142857142857143,0.980800877674163,1830,1,1788,6,35,0.977595628415301,0.0277777777777778,0.996655518394649,0.166387726443276,0.142857142857143,0.0277777777777778,0.0465116279069767,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0
"multiple_C2_P02_V06_CNA",0.0909090909090909,0.980758658603628,1830,1,1784,10,35,0.975409836065574,0.0277777777777778,0.994425863991081,0.166201506209838,0.0909090909090909,0.0277777777777778,0.0425531914893617,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0
