"filename","IRT","Average","Greedy","GreedyMean","ICWA","Max","Thres","Cor90","Cor80","Cor70"
"auto6_1_C4_P02_V03_CA0",0.358508158508158,0.353224553224553,0.348251748251748,0.361149961149961,0.32012432012432,0.34001554001554,0.379331779331779,8,18,32
"auto6_1_C4_P02_V03_CA1",0.423776223776224,0.443356643356643,0.434965034965035,0.432167832167832,0.463403263403263,0.478554778554779,0.442890442890443,8,18,28
"auto6_1_C4_P02_V04_CA0",0.557575757575758,0.575602175602176,0.579176379176379,0.565034965034965,0.563170163170163,0.573737373737374,0.53962703962704,8,18,30
"auto6_1_C4_P02_V04_CA1",0.543900543900544,0.551204351204351,0.528671328671329,0.533644133644134,0.50971250971251,0.525563325563326,0.547008547008547,8,18,26
"auto6_1_C4_P02_V05_CA0",0.593162393162393,0.605283605283605,0.638073038073038,0.569075369075369,0.602020202020202,0.558352758352758,0.598135198135198,8,18,32
"auto6_1_C4_P02_V05_CA1",0.612742812742813,0.624864024864025,0.601398601398601,0.534731934731935,0.616006216006216,0.582983682983683,0.614763014763015,8,18,26
"auto6_1_C4_P02_V06_CA0",0.56954156954157,0.585081585081585,0.561305361305361,0.553535353535354,0.626728826728827,0.581818181818182,0.576845376845377,8,18,30
"auto6_1_C4_P02_V06_CA1",0.55975135975136,0.57000777000777,0.542657342657343,0.528515928515929,0.634965034965035,0.616006216006216,0.558508158508158,8,18,26
"auto6_1_C4_P02_V07_CA0",0.475679875679876,0.457498057498057,0.488578088578089,0.463247863247863,0.45019425019425,0.462626262626263,0.442113442113442,8,18,30
"auto6_1_C4_P02_V07_CA1",0.498679098679099,0.508313908313908,0.44024864024864,0.465889665889666,0.533644133644134,0.472571872571873,0.516472416472416,8,18,26
"auto6_1_C4_P02_V08_CA0",0.516550116550117,0.510955710955711,0.53022533022533,0.542657342657343,0.477700077700078,0.498212898212898,0.520435120435121,8,18,30
"auto6_1_C4_P02_V08_CA1",0.580730380730381,0.582439782439782,0.593473193473193,0.611344211344211,0.60994560994561,0.525874125874126,0.587024087024087,8,18,30
"auto6_1_C4_P02_V09_CA0",0.413364413364413,0.411499611499612,0.422066822066822,0.415384615384615,0.428593628593629,0.44024864024864,0.397513597513597,8,18,34
"auto6_1_C4_P02_V09_CA1",0.412587412587413,0.381973581973582,0.425796425796426,0.403729603729604,0.368764568764569,0.456099456099456,0.395959595959596,8,18,26
"auto6_1_C4_P02_V10_CA0",0.489355089355089,0.500699300699301,0.477855477855478,0.495260295260295,0.532556332556333,0.493317793317793,0.478088578088578,8,18,30
"auto6_1_C4_P02_V10_CA1",0.544677544677545,0.526806526806527,0.510644910644911,0.5003885003885,0.531934731934732,0.528515928515929,0.494094794094794,8,18,26
"auto6_1_C4_P05_V01_CA0",0.572364672364672,0.564159544159544,0.562621082621083,0.558860398860399,0.556353276353276,0.572022792022792,0.560740740740741,8,18,30
"auto6_1_C4_P05_V01_CA1",0.583076923076923,0.575327635327635,0.577834757834758,0.567008547008547,0.562621082621083,0.561310541310541,0.567435897435897,8,18,26
"auto6_1_C4_P05_V02_CA0",0.560569800569801,0.558575498575499,0.558518518518519,0.566552706552707,0.553903133903134,0.546495726495727,0.568917378917379,8,18,30
"auto6_1_C4_P05_V02_CA1",0.574928774928775,0.565185185185185,0.56974358974359,0.573732193732194,0.555555555555556,0.5597150997151,0.562450142450142,8,18,26
"auto6_1_C4_P05_V03_CA0",0.481082621082621,0.484843304843305,0.499031339031339,0.495612535612536,0.507122507122507,0.492592592592593,0.478062678062678,8,18,30
"auto6_1_C4_P05_V03_CA1",0.513333333333333,0.523361823361823,0.495441595441595,0.481937321937322,0.524843304843305,0.505868945868946,0.505213675213675,8,18,28
"auto6_1_C4_P05_V04_CA0",0.582564102564103,0.579031339031339,0.559031339031339,0.559031339031339,0.587692307692308,0.565925925925926,0.594245014245014,8,18,30
