"N","iter","n","V1","V2","V3","V4","V5"
200,79,4,0.720000000000027,0.129999999999995,1.05999999999949,NA,NA
200,79,4,0.799999999999955,0.0600000000000023,0.910000000000764,NA,NA
200,79,4,0.570000000000164,0,0.559999999999491,NA,NA
200,79,4,0.539999999999964,0,0.569999999999709,NA,NA
200,79,4,0.519999999999982,0,0.509999999999309,NA,NA
200,79,4,0.550000000000182,0,0.550000000000182,NA,NA
200,79,4,0.559999999999945,0,0.559999999999491,NA,NA
200,79,4,0.509999999999991,0,0.510000000000218,NA,NA
200,79,4,0.600000000000136,0,0.640000000000327,NA,NA
200,79,4,0.670000000000073,0,0.670000000000073,NA,NA
200,79,4,0.580000000000155,0.019999999999996,0.619999999999891,NA,NA
200,79,4,0.529999999999973,0.0100000000000051,0.609999999999673,NA,NA
200,79,4,0.559999999999945,0.0300000000000011,0.590000000000146,NA,NA
200,79,4,0.9699999999998,0.0599999999999881,1.07999999999993,NA,NA
200,79,4,0.569999999999936,0,0.579999999999927,NA,NA
200,79,4,0.549999999999955,0,0.559999999999491,NA,NA
200,79,4,0.5,0,0.5,NA,NA
200,79,4,0.5,0,0.510000000000218,NA,NA
200,79,4,0.5300000000002,0,0.529999999999745,NA,NA
200,79,4,0.539999999999964,0.0200000000000102,0.579999999999927,NA,NA
2000,23,4,0.430000000000064,0.25,1.01000000000022,NA,NA
2000,23,4,0.25,0,0.25,NA,NA
2000,23,4,0.279999999999973,0,0.289999999999964,NA,NA
2000,23,4,0.389999999999873,0.140000000000001,0.580000000000837,NA,NA
2000,23,4,0.279999999999973,0,0.369999999999891,NA,NA
2000,23,4,0.240000000000009,0,0.270000000000437,NA,NA
2000,23,4,0.240000000000009,0,0.25,NA,NA
2000,23,4,0.270000000000209,0,0.259999999999309,NA,NA
2000,23,4,0.289999999999964,0,0.5,NA,NA
2000,23,4,0.279999999999973,0,0.279999999999745,NA,NA
2000,23,4,0.220000000000027,0,0.220000000000255,NA,NA
2000,23,4,0.230000000000018,0,0.240000000000691,NA,NA
2000,23,4,0.25,0,0.270000000000437,NA,NA
2000,23,4,0.240000000000009,0,0.239999999999782,NA,NA
