"filename","IRT","Average","Greedy","GreedyMean","ICWA","Max","Thres","Cor90","Cor80","Cor70"
"abalone_C1_P02_V01_CA0",0.687585747585748,0.687698967698968,0.674332334332334,0.683123543123543,0.683616383616384,0.653579753579754,0.686420246420246,2,6,34
"abalone_C1_P02_V01_CA1",0.669237429237429,0.647925407925408,0.641112221112221,0.65012987012987,0.607059607059607,0.634169164169164,0.637609057609058,0,6,18
"abalone_C1_P02_V02_CA0",0.688638028638029,0.676450216450216,0.664482184482184,0.66968364968365,0.671535131535132,0.658308358308358,0.665274725274725,2,6,32
"abalone_C1_P02_V02_CA1",0.652061272061272,0.615984015984016,0.623283383283383,0.614645354645355,0.568325008325008,0.626073926073926,0.588098568098568,0,4,12
"abalone_C1_P02_V03_CA0",0.684415584415584,0.676763236763237,0.662537462537463,0.668078588078588,0.655171495171495,0.636117216117216,0.677805527805528,2,4,32
"abalone_C1_P02_V03_CA1",0.681258741258741,0.651648351648352,0.657409257409257,0.651348651348651,0.614192474192474,0.637535797535797,0.638638028638029,0,6,16
"abalone_C1_P02_V04_CA0",0.701684981684982,0.696683316683317,0.688538128538129,0.68962370962371,0.68048618048618,0.667492507492507,0.692007992007992,2,4,30
"abalone_C1_P02_V04_CA1",0.663696303696304,0.672920412920413,0.68025974025974,0.673339993339993,0.641951381951382,0.645614385614386,0.652437562437562,0,4,12
"abalone_C1_P02_V05_CA0",0.727032967032967,0.72021978021978,0.715377955377955,0.717509157509157,0.70050616050616,0.71048951048951,0.709010989010989,2,6,30
"abalone_C1_P02_V05_CA1",0.700859140859141,0.652261072261072,0.647066267066267,0.655004995004995,0.627758907758908,0.682717282717283,0.628571428571429,0,6,14
"abalone_C1_P02_V06_CA0",0.808871128871129,0.792467532467532,0.787059607059607,0.784209124209124,0.797742257742258,0.792960372960373,0.794112554112554,2,6,30
"abalone_C1_P02_V06_CA1",0.77034965034965,0.749124209124209,0.717129537129537,0.739360639360639,0.711268731268731,0.773912753912754,0.747622377622378,0,4,14
"abalone_C1_P02_V07_CA0",0.713359973359973,0.713160173160173,0.705301365301365,0.704721944721945,0.713672993672994,0.690849150849151,0.703436563436563,2,6,32
"abalone_C1_P02_V07_CA1",0.678181818181818,0.634865134865135,0.592720612720613,0.627312687312687,0.583862803862804,0.649070929070929,0.613796203796204,0,4,12
"abalone_C1_P02_V08_CA0",0.748085248085248,0.744588744588745,0.736683316683317,0.738954378954379,0.743403263403263,0.720692640692641,0.732141192141192,2,6,36
"abalone_C1_P02_V08_CA1",0.713533133533134,0.696996336996337,0.691655011655012,0.69957375957376,0.652773892773893,0.675684315684316,0.676756576756577,0,4,12
"abalone_C1_P02_V09_CA0",0.680659340659341,0.678434898434898,0.665221445221445,0.668404928404928,0.671641691641692,0.644648684648685,0.682680652680653,2,6,30
"abalone_C1_P02_V09_CA1",0.655038295038295,0.636856476856477,0.64979020979021,0.639400599400599,0.611575091575092,0.616683316683317,0.614099234099234,0,4,12
"abalone_C1_P02_V10_CA0",0.753679653679654,0.741192141192141,0.725028305028305,0.73020979020979,0.725634365634366,0.676430236430236,0.731371961371961,2,4,34
"abalone_C1_P02_V10_CA1",0.722417582417582,0.702730602730603,0.697109557109557,0.699533799533799,0.671195471195471,0.674299034299034,0.702301032301032,0,4,12
"abalone_C1_P05_V01_CA0",0.742590742590743,0.74382796690489,0.724480647557571,0.726834703757781,0.732511078664925,0.69512538743308,0.743234970158047,2,8,30
"abalone_C1_P05_V01_CA1",0.736809344501652,0.70938292476754,0.686444324905863,0.705033428110351,0.717551679090141,0.69019314019314,0.690179051717513,0,8,14
"abalone_C1_P05_V02_CA0",0.744178898025052,0.736916929224621,0.720118343195266,0.729572991111453,0.726655395886165,0.696146161530777,0.729004329004329,2,8,32
"abalone_C1_P05_V02_CA1",0.706398729475653,0.683101513870745,0.684100514869746,0.686585209662133,0.692087399779707,0.674653551576629,0.660945464791619,0,8,16
